# Groundwater resource supply curves for all basins - 25% extraction scenario
# Based on global hydrogeological maps and cost extraction model
# Source: Yonkofski et al. (in review) Cost and accessibility of global non-renewable groundwater resources
# Units: price in 1975USD; available in km3
basin.id,price,available,grade
17,0.176,18.527103626000002,grade9
17,0.198,3.2460374460000003,grade10
17,0.22,204.30149210300002,grade11
17,0.44,80.203778438,grade12
17,0.66,10.816527441,grade13
17,0.88,0,grade14
17,1.1,0,grade15
17,1.32,0,grade16
17,1.54,0,grade17
17,1.76,0,grade18
17,1.98,0,grade19
17,2.2,0,grade20
17,4.4,0,grade21
17,6.6,0,grade22
17,8.8,0,grade23
17,20.9,0,grade24
18,0.002,406.189823314,grade1
18,0.022,1230.3120426575001,grade2
18,0.044,691.0458361306,grade3
18,0.066,512.5064294224001,grade4
18,0.088,397.5391372504001,grade5
18,0.11,316.64885735720003,grade6
18,0.132,365.92527273800005,grade7
18,0.154,233.448324976,grade8
18,0.176,232.069527098,grade9
18,0.198,229.816287861,grade10
18,0.22,1019.3627085233001,grade11
18,0.44,692.0143062905,grade12
18,0.66,321.922643129,grade13
18,0.88,56.934505844,grade14
18,1.1,10.225297242,grade15
18,1.32,15.728222361,grade16
18,1.54,2.2400273351999997,grade17
18,1.76,2.682682e-4,grade18
18,1.98,0,grade19
18,2.2,0,grade20
18,4.4,0,grade21
18,6.6,0,grade22
18,8.8,0,grade23
18,20.9,0,grade24
19,0.002,11.742686286000001,grade1
19,0.022,179.67343358000002,grade2
19,0.044,198.07692549900003,grade3
19,0.066,134.262429096,grade4
19,0.088,83.16166875,grade5
19,0.11,41.317228401,grade6
19,0.132,11.772084510000001,grade7
19,0.154,5.094666764,grade8
19,0.176,0.8975832100000001,grade9
19,0.198,2.5100345560000004,grade10
19,0.22,43.179503947,grade11
19,0.44,29.723858177,grade12
19,0.66,28.754639168,grade13
19,0.88,40.9760543,grade14
19,1.1,5.8522198670000005,grade15
19,1.32,0.076618168,grade16
19,1.54,0,grade17
19,1.76,0,grade18
19,1.98,0,grade19
19,2.2,0,grade20
19,4.4,0,grade21
19,6.6,0,grade22
19,8.8,0,grade23
19,20.9,0,grade24
20,0.002,20.600857662000003,grade1
20,0.022,180.94942002300002,grade2
20,0.044,31.543335243,grade3
20,0.066,12.349750791,grade4
20,0.088,4.379075333,grade5
20,0.11,3.379284638,grade6
